,title,abstract,affiliations,authors,journal,date,keywords,url
787,"Selective, sensitive, and fast determination of S-layer proteins by a molecularly imprinted photonic polymer coated film and a fiber-optic spectrometer","A newly developed molecularly imprinted photonic polymer (MIPP) film, which was prepared by colloidal crystal templating and surface molecular imprinting, was used for selective capture of S-layer protein (SLP) from a complex Lactobacillus acidophilus sample. The colloidal crystal templates were formed by a dipping process followed by chemical binding of the imprinted template SLP molecules. A sandwich structure consisting of two glass slides was formed after the SLP-silica layer had been covered with a poly(methyl methacrylate) glass slide. After polymerization of the SLP-silica layer with the preprepared polymerization solution, hydrofluoric acid and acetic phosphate buffer solutions removed the silica particles and SLP molecules, respectively. The MIPP film obtained exhibited a three-dimensional, highly ordered and interconnected macroporous structure (pore size greater than 200 nm), which is specifically accessible to SLP molecules. The adsorbed SLP molecules were simply and straightforwardly detected by a fiber-optic spectrometer. The redshift of the Bragg diffraction peak of the MIPP film was linearly related to the number of SLP molecules that had been harvested in the film. The detection limit of the SLP-MMIP-fiber-optic spectrometer method for SLP was 1 ng mL-1. The MIPP sensor was successfully applied to detect SLP molecules in a crudely extracted Lactobacillus acidophilus sample. Our results prove the applicability of the SLP-MIPP film for fast and real-time measurement of SLP. Graphical abstract.","['1 State Key Laboratory for Quality and Safety of Agro-products, Ningbo University, Ningbo, Zhejiang, 315211, China. daodongpan@163.com.', '2 School of Food and Pharmaceutical Engineering, Nanjing Normal University, Nanjing, 210023, Jiangsu, China. daodongpan@163.com.', '3 Key Laboratory of Animal Protein Deep Processing Technology of Zhejiang Province, Ningbo University, Ningbo, Zhejiang, 315800, China. daodongpan@163.com.', '4 School of Food and Pharmaceutical Engineering, Nanjing Normal University, Nanjing, 210023, Jiangsu, China.', '5 Key Laboratory of Animal Protein Deep Processing Technology of Zhejiang Province, Ningbo University, Ningbo, Zhejiang, 315800, China.']","Daodong Pan, Mingyue Xun, Hangzhen Lan, Jianlin Li, Zhen Wu, Yuxing Guo, ",Analytical and bioanalytical chemistry,2019 Nov,Lactobacillus acidophilus; Molecularly imprinted photonic polymers; Photonic crystal; S-Layer protein; Selective extraction.,https://pubmed.ncbi.nlm.nih.gov/31713014
788,A novel vertebrate system for the examination and direct comparison of the relative biological effectiveness for different radiation qualities and sources,"Purpose:
      
    

    
      The recent rapid increase of hadron therapy applications requires the development of high performance, reliable in vivo models for preclinical research on the biological effects of high linear energy transfer (LET) particle radiation. Aim:
      
    

    
      The aim of this paper was to test the relative biological effectiveness (RBE) of the zebrafish embryo system at two neutron facilities. Material and methods:
      
    

    
      Series of viable zebrafish embryos at 24-hour post-fertilization (hpf) were exposed to single fraction, whole-body, photon and neutron (reactor fission neutrons (<En = 1 MeV>) and (p (18 MeV)+Be, <En> = 3.5 MeV) fast neutron) irradiation. The survival and morphologic abnormalities of each embryo were assessed at 24-hour intervals from the point of fertilization up to 192 hpf and then compared to conventional 6 MV photon beam irradiation results. Results:
      
    

    
      The higher energy of the fast neutron beams represents lower RBE (ref. source LINAC 6 MV photon). The lethality rate in the zebrafish embryo model was 10 times higher for 1 MeV fission neutrons and 2.5 times greater for p (18 MeV)+Be cyclotron generated fast neutron beam when compared to photon irradiation results. Dose-dependent organ perturbations (shortening of the body length, spine curvature, microcephaly, micro-ophthalmia, pericardial edema and inhibition of yolk sac resorption) and microscopic (marked cellular changes in eyes, brain, liver, muscle and the gastrointestinal system) changes scale together with the dose response. Conclusion:
      
    

    
      The zebrafish embryo system is a powerful and versatile model for assessing the effect of ionizing radiation with different LET values on viability, organ and tissue development.","['1 a Extreme Light Infrastructure - Attosecond Light Pulse Source, ELI-HU Non-Profit Ltd , Szeged , Hungary.', '2 b Department of Pathology , University of Szeged , Szeged , Hungary.', '3 c Budapest University of Technology and Economics Institute of Nuclear Techniques , Budapest , Hungary.', '4 d Hungarian Academy of Sciences Institute for Nuclear Research (MTA Atomki) , Debrecen , Hungary.', '5 e Department of Internal Medicine, Division of Geriatrics , University of Debrecen , Debrecen , Hungary.', '6 f Department of Oncotherapy , University of Szeged , Szeged , Hungary.']","E R Szabó, Z Reisz, R Polanek, T Tőkés, Sz Czifrus, Cs Pesznyák, B Biró, A Fenyvesi, B Király, J Molnár, Sz Brunner, B Daroczi, Z Varga, K Hideghéty, ",International journal of radiation biology,2018 Nov,Zebrafish; ionizing radiation; linear energy transfer (LET); relative biological effectiveness (RBE).,https://pubmed.ncbi.nlm.nih.gov/30332320
789,Technical Note: Comparison of first- and second-generation photon-counting slit-scanning tomosynthesis systems,"Purpose:
      
    

    
      Digital breast tomosynthesis (DBT) is an emerging tool for breast-cancer screening and diagnostics. The purpose of this study is to present a second-generation photon-counting slit-scanning DBT system and compare it to the first-generation system in terms of geometry and image quality. The study presents the first image-quality measurements on the second-generation system. Method:
      
    

    
      The geometry of the new system is based on a combined rotational and linear motion, in contrast to a purely rotational scan motion in the first generation. In addition, the calibration routines have been updated. Image quality was measured in the center of the image field in terms of in-slice modulation transfer function (MTF), artifact spread function (ASF), and in-slice detective quantum efficiency (DQE). Images were acquired using a W/Al 29 kVp spectrum at 13 mAs with 2 mm Al additional filtration and reconstructed using simple back-projection. Result:
      
    

    
      The in-slice 50% MTF was improved in the chest-mammilla direction, going from 3.2 to 3.5 lp/mm, and the zero-frequency DQE increased from 0.71 to 0.77. The MTF and ASF were otherwise found to be on par for the two systems. The new system has reduced in-slice variation of the tomographic angle. Conclusions:
      
    

    
      The new geometry is less curved, which reduces in-slice tomographic-angle variation, and increases the maximum compression height, making the system accessible for a larger population. The improvements in MTF and DQE were attributed to the updated calibration procedures. We conclude that the second-generation system maintains the key features of the photon-counting system while maintaining or improving image quality and improving the maximum compression height.","['1 Physics of Medical Imaging, Royal Institute of Technology, AlbaNova University Center, Stockholm, 106 91, Sweden.', '2 Philips Mammography Solutions, Kista, 164 40, Sweden.']","Karl Berggren, Björn Cederström, Mats Lundqvist, Erik Fredenberg, ",Medical physics,2018 Feb,ASF; DQE; MTF; Slit scan; breast tomosynthesis; photon counting.,https://pubmed.ncbi.nlm.nih.gov/29265414
790,International Multisite Study of Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes for Drug Proarrhythmic Potential Assessment,"To assess the utility of human-induced pluripotent stem cell-derived cardiomyocytes (hiPSC-CMs) as an in vitro proarrhythmia model, we evaluated the concentration dependence and sources of variability of electrophysiologic responses to 28 drugs linked to low, intermediate, and high torsades de pointes (TdP) risk categories using two commercial cell lines and standardized protocols in a blinded multisite study using multielectrode array or voltage-sensing optical approaches. Logistical and ordinal linear regression models were constructed using drug responses as predictors and TdP risk categories as outcomes. Three of seven predictors (drug-induced arrhythmia-like events and prolongation of repolarization at either maximum tested or maximal clinical exposures) categorized drugs with reasonable accuracy (area under the curve values of receiver operator curves ∼0.8). hiPSC-CM line, test site, and platform had minimal influence on drug categorization. These results demonstrate the utility of hiPSC-CMs to detect drug-induced proarrhythmic effects as part of the evolving Comprehensive In Vitro Proarrhythmia Assay paradigm.","['1 Division of Biomedical Physics, Office of Science and Engineering Laboratories, Center for Devices and Radiological Health, US Food and Drug Administration, Silver Spring, MD 20993, USA. Electronic address: ksenia.blinova@fda.hhs.gov.', '2 Office of Biostatistics, Office of Translational Science, Center for Drug Evaluation and Research, US Food and Drug Administration, Silver Spring, MD 20993, USA.', '3 Axion BioSystems, Atlanta, GA 30309, USA.', '4 University of Glasgow, Glasgow G12 8QQ, Scotland, UK; Clyde Biosciences, Newhouse ML1 5UH, Scotland, UK.', '5 Health and Environmental Sciences Institute, Washington, DC 20005, USA.', '6 Investigative Toxicology, Frederick National Laboratory for Cancer Research, Leidos Biomedical Research, Frederick, MD 21702, USA.', '7 Genentech, San Francisco, CA 94080, USA.', '8 Discovery Sciences, R&D, Janssen Pharmaceutical (JNJ), Beerse, Belgium.', '9 NMI Natural and Medical Sciences Institute at the University of Tübingen, Reutlingen, Germany.', '10 Merck, Safety & Exploratory Pharmacology Department, West Point, PA 19486, USA.', '11 Bristol-Myers Squibb, New York, NY 10154, USA.', '12 ACEA Biosciences, San Diego, CA 92121, USA.', '13 Eisai, Tsukuba, Ibaraki 300-2635, Japan; The University of Tokyo, Bunkyo-ku, Tokyo 113-0033, Japan.', '14 LSI Medience, Chiyoda-ku, Tokyo 101-8517, Japan.', '15 Division of Pharmacology, National Institute of Health Sciences, Kawasaki, Kanagawa 210-9501, Japan.', '16 The University of Tokyo, Bunkyo-ku, Tokyo 113-0033, Japan; Division of Pharmacology, National Institute of Health Sciences, Kawasaki, Kanagawa 210-9501, Japan.', '17 Division of Biochemical Toxicology, National Center for Toxicological Research, US Food and Drug Administration, Jefferson, AR 72079, USA.', '18 Cellular Dynamics International-A FUJIFILM Company, Madison, WI 53711, USA.', '19 Ncardia, Cologne 50829, Germany.', '20 Division of Cardiovascular and Renal Products, Office of Drug Evaluation I, Office of New Drugs, Center for Drug Evaluation and Research, US Food and Drug Administration, Silver Spring, MD 20993, USA.', '21 Division of Applied and Regulatory Science, Office of Clinical Pharmacology, Office of Translational Science, Center for Drug Evaluation and Research, US Food and Drug Administration, Silver Spring, MD 20993, USA.', '22 AbbVie, North Chicago, IL 60064-6118, USA. Electronic address: gary.gintant@abbvie.com.']","Ksenia Blinova, Qianyu Dang, Daniel Millard, Godfrey Smith, Jennifer Pierson, Liang Guo, Mathew Brock, Hua Rong Lu, Udo Kraushaar, Haoyu Zeng, Hong Shi, Xiaoyu Zhang, Kohei Sawada, Tomoharu Osada, Yasunari Kanda, Yuko Sekino, Li Pang, Tromondae K Feaster, Ralf Kettenhofen, Norman Stockbridge, David G Strauss, Gary Gintant, ",Cell reports,2018,CiPA; comprehensive in vitro proarrhythmia assay; drug-induced ventricular arrhythmia Torsade de Pointes; hiPSC-CM; human-induced pluripotent stem cell-derived cardiomycotes; microelectrode array; voltage-sensitive dyes.,https://pubmed.ncbi.nlm.nih.gov/30257217
791,Coronovirus Disease-2019 (COVID-19) Pandemic and Cardiac Electrophysiology: Guidance Protocol From a UK Tertiary Cardiac Center,"Since December 2019, the coronovirus disease-2019 (COVID-19) pandemic has resulted in more than 2,160,000 positive cases and more than 145,000 deaths until April 18, 2020. The pressure to the health services worldwide has been unprecedented. The redeployment of staff and resources to treat more efficiently COVID-19 cases along with the need to reduce disease transmission has affected the field of electrophysiology among many others. Amendments to clinical pathways are obligatory in this perspective to continue to provide the necessary health services to the people who need them, although at the same time, infection control and prevention are not compromised by inadvertent disease transmission or unnecessary use of resources. We aim to provide a guide of the logistic aspects of electrophysiology procedures derived from our tertiary cardiac center during the current COVID-19 pandemic.","['1 From the Cardiology Department, Lancashire Cardiac Centre, Blackpool Teaching Hospitals NHS Foundation Trust, Blackpool, United Kingdom.']","Dimitrios Katsaras, Shajil Chalil, Khalid Abozguia, ",Critical pathways in cardiology,2020 Sep,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/32349045
792,The effects of transcranial alternating current stimulation (tACS) at individual alpha peak frequency (iAPF) on motor cortex excitability in young and elderly adults,"Transcranial alternating current stimulation (tACS) can modulate brain oscillations, cortical excitability and behaviour. In aging, the decrease in EEG alpha activity (8-12 Hz) in the parieto-occipital and mu rhythm in the motor cortex are correlated with the decline in cognitive and motor functions, respectively. Increasing alpha activity using tACS might therefore improve cognitive and motor function in the elderly. The present study explored the influence of tACS on cortical excitability in young and old healthy adults. We applied tACS at individual alpha peak frequency for 10 min (1.5 mA) to the left motor cortex. Transcranial magnetic stimulation was used to assess the changes in cortical excitability as measured by motor-evoked potentials at rest, before and after stimulation. TACS increased cortical excitability in both groups. However, our results also suggest that the mechanism behind the effects was different, as we observed an increase and decrease in intracortical inhibition in the old group and young group, respectively. Our results indicate that both groups profited similarly from the stimulation. There was no indication that tACS was more effective in conditions of low alpha power, that is, in the elderly.","['1 Institute of Psychology, University of Graz, Graz, Austria. shane.fresnoza@uni-graz.at.', '2 Institute of Physiology, Medical University of Graz, Graz, Austria. shane.fresnoza@uni-graz.at.', '3 Otto Loewi Research Center, Physiology Section, Medical University of Graz, Graz, Austria.', '4 Department of Physiotherapy, University of Applied Sciences FH-Joanneum Graz, Graz, Austria.', '5 Institute of Psychology, University of Graz, Graz, Austria.', '6 Institute of Physiology, Medical University of Graz, Graz, Austria.', '7 BioTechMed, Graz, Austria.', '8 Faculty of Human Sciences, Medical School Hamburg (MSH), Hamburg, Germany.']","Shane Fresnoza, Monica Christova, Theresa Feil, Eugen Gallasch, Christof Körner, Ulrike Zimmer, Anja Ischebeck, ",Experimental brain research,2018 Oct,Aging; Alpha oscillation; Electroencephalogram; Neuronal entrainment; Transcranial alternating current stimulation; Transcranial magnetic stimulation.,https://pubmed.ncbi.nlm.nih.gov/29943239
793,Using wearable sensors to classify subject-specific running biomechanical gait patterns based on changes in environmental weather conditions,"Running-related overuse injuries can result from a combination of various intrinsic (e.g., gait biomechanics) and extrinsic (e.g., running surface) risk factors. However, it is unknown how changes in environmental weather conditions affect running gait biomechanical patterns since these data cannot be collected in a laboratory setting. Therefore, the purpose of this study was to develop a classification model based on subject-specific changes in biomechanical running patterns across two different environmental weather conditions using data obtained from wearable sensors in real-world environments. Running gait data were recorded during winter and spring sessions, with recorded average air temperatures of -10° C and +6° C, respectively. Classification was performed based on measurements of pelvic drop, ground contact time, braking, vertical oscillation of pelvis, pelvic rotation, and cadence obtained from 66,370 strides (~11,000/runner) from a group of recreational runners. A non-linear and ensemble machine learning algorithm, random forest (RF), was used to classify and compute a heuristic for determining the importance of each variable in the prediction model. To validate the developed subject-specific model, two cross-validation methods (one-against-another and partitioning datasets) were used to obtain experimental mean classification accuracies of 87.18% and 95.42%, respectively, indicating an excellent discriminatory ability of the RF-based model. Additionally, the ranked order of variable importance differed across the individual runners. The results from the RF-based machine-learning algorithm demonstrates that processing gait biomechanical signals from a single wearable sensor can successfully detect changes to an individual's running patterns based on data obtained in real-world environments.","['1 Faculty of Kinesiology, University of Calgary, Calgary, Alberta, Canada.', '2 Running Injury Clinic, University of Calgary, Calgary, Alberta, Canada.', '3 Faculty of Nursing, University of Calgary, Calgary, Alberta, Canada.']","Nizam Uddin Ahamed, Dylan Kobsar, Lauren Benson, Christian Clermont, Russell Kohrs, Sean T Osis, Reed Ferber, ",PloS one,2018,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/30226903
794,Human disease glycomics: technology advances enabling protein glycosylation analysis - part 2,"The changes in glycan structures have been attributed to disease states for several decades. The surface glycosylation pattern is a signature of physiological state of a cell. In this review we provide a link between observed substructural glycan changes and a range of diseases. Areas covered: We highlight biologically relevant glycan substructure expression in cancer, inflammation, neuronal diseases and diabetes. Furthermore, the alterations in antibody glycosylation in a disease context are described. Expert commentary: Advances in technologies, as described in Part 1 of this review have now enabled the characterization of specific glycan structural markers of a range of disease states. The requirement of including glycomics in cross-disciplinary omics studies, such as genomics, proteomics, epigenomics, transcriptomics and metabolomics towards a systems glycobiology approach to understanding disease mechanisms and management are highlighted.","['1 a Faculty of Science and Engineering, Biomolecular Discovery and Design Research Centre , Macquarie University , Sydney , Australia.', '2 b ARC Centre for Nanoscale BioPhotonics , Macquarie University , Sydney , Australia.', '3 c Institute for Glycomics , Griffith University , Gold Coast , Australia.']","Arun V Everest-Dass, Edward S X Moh, Christopher Ashwood, Abdulrahman M M Shathili, Nicolle H Packer, ",Expert review of proteomics,2018 Apr,Glycomics; disease glycomics; glycan analysis; glycan structure; mass spectrometry.,https://pubmed.ncbi.nlm.nih.gov/29521143
795,Focal Hemodynamic Responses in the Stimulated Hemisphere During High-Definition Transcranial Direct Current Stimulation,"Objective:
      
    

    
      High-definition transcranial direct current stimulation (HD-tDCS) using a 4 × 1 electrode montage has been previously shown using modeling and physiological studies to constrain the electric field within the spatial extent of the electrodes. The aim of this proof-of-concept study was to determine if functional near-infrared spectroscopy (fNIRS) neuroimaging can be used to determine a hemodynamic correlate of this 4 × 1 HD-tDCS electric field on the brain. Materials and methods:
      
    

    
      In a three session cross-over study design, 13 healthy males received one sham (2 mA, 30 sec) and two real (HD-tDCS-1 and HD-tDCS-2, 2 mA, 10 min) anodal HD-tDCS targeting the left M1 via a 4 × 1 electrode montage (anode on C3 and 4 return electrodes 3.5 cm from anode). The two real HD-tDCS sessions afforded a within-subject replication of the findings. fNIRS was used to measure changes in brain hemodynamics (oxygenated hemoglobin integral-O2 Hbint ) during each 10 min session from two regions of interest (ROIs) in the stimulated left hemisphere that corresponded to ""within"" (Lin ) and ""outside"" (Lout ) the spatial extent of the 4 × 1 electrode montage, and two corresponding ROIs (Rin and Rout ) in the right hemisphere. Results:
      
    

    
      The ANOVA showed that both real anodal HD-tDCS compared to sham induced a significantly greater O2 Hbint in the Lin than Lout ROIs of the stimulated left hemisphere; while there were no significant differences between the real and sham sessions for the right hemisphere ROIs. Intra-class correlation coefficients showed ""fair-to-good"" reproducibility for the left stimulated hemisphere ROIs. Conclusions:
      
    

    
      The greater O2 Hbint ""within"" than ""outside"" the spatial extent of the 4 × 1 electrode montage represents a hemodynamic correlate of the electrical field distribution, and thus provides a prospective reliable method to determine the dose of stimulation that is necessary to optimize HD-tDCS parameters in various applications.","['1 EuroMov, University of Montpellier, Montpellier, France.', '2 Institute of Neurology, University College London, London, UK.']","Makii Muthalib, Pierre Besson, John Rothwell, Stéphane Perrey, ",Neuromodulation : journal of the International Neuromodulation Society,2018 Jun,Blood flow; electric field; fNIRS; motor cortex stimulation; tDCS.,https://pubmed.ncbi.nlm.nih.gov/28714545
796,"Short pulse width in subthalamic stimulation in Parkinson's disease: a randomized, double-blind study","Background:
      
    

    
      We investigated the acute effect of short pulse widths on the therapeutic window in subthalamic nucleus deep brain stimulation in Parkinson's disease. Methods:
      
    

    
      We assessed 10 PD patients with STN-DBS at a 60-µs pulse width. We randomly and double-blindedly applied 10- to 50-µs pulse widths. The principal outcome was the therapeutic window (difference between the amplitude thresholds for visible muscle contraction and for best rigidity control). The secondary outcome was the charge per pulse (which reflects the efficiency of the stimulation) needed to control rigidity. Two-way analysis of variance and pairwise t tests were applied. Results:
      
    

    
      The therapeutic window widened when the pulse width shortened (r = -0.45; P < 0.001), and charge per pulse was reduced (P < 0.05). Conclusions:
      
    

    
      This randomized, double-blind study showed that shorter pulse widths widen the therapeutic window of STN-DBS in PD without increasing the electrical charge required to obtain the same acute clinical benefit. © 2017 International Parkinson and Movement Disorder Society.","['1 Department of Neurology, Geneva University Hospital, Geneva, Switzerland.', '2 Department of Basic Neuroscience, University of Geneva, Geneva, Switzerland.', '3 Department of Neurosurgery, Geneva University Hospital, Geneva, Switzerland.', '4 Sobell Department of Motor Neuroscience, UCL Institute of Neurology, National Hospital for Neurology and Neurosurgery, London, UK.']","Walid Bouthour, Jennifer Wegrzyk, Shahan Momjian, Julie Péron, Vanessa Fleury, Emilie Tomkova Chaoui, Judit Horvath, Colette Boëx, Christian Lüscher, Pierre R Burkhard, Paul Krack, André Zacharia, ",Movement disorders : official journal of the Movement Disorder Society,2018 Jan,Parkinson's disease; deep brain stimulation; pulse width; rigidity; subthalamic nucleus.,https://pubmed.ncbi.nlm.nih.gov/29266392
797,Stereospecific modulation of dimeric rhodopsin,"The classic concept that GPCRs function as monomers has been challenged by the emerging evidence of GPCR dimerization and oligomerization. Rhodopsin (Rh) is the only GPCR whose native oligomeric arrangement was revealed by atomic force microscopy demonstrating that Rh exists as a dimer. However, the role of Rh dimerization in retinal physiology is currently unknown. In this study, we identified econazole and sulconazole, two small molecules that disrupt Rh dimer contacts, by implementing a cell-based high-throughput screening assay. Racemic mixtures of identified lead compounds were separated and tested for their stereospecific binding to Rh using UV-visible spectroscopy and intrinsic fluorescence of tryptophan (Trp) 265 after illumination. By following the changes in UV-visible spectra and Trp265 fluorescence in vitro, we found that binding of R-econazole modulates the formation of Meta III and quenches the intrinsic fluorescence of Trp265. In addition, electrophysiological ex vivo recording revealed that R-econazole slows photoresponse kinetics, whereas S-econazole decreased the sensitivity of rods without effecting the kinetics. Thus, this study contributes new methodology to identify compounds that disrupt the dimerization of GPCRs in general and validates the first active compounds that disrupt the Rh dimer specifically.-Getter, T., Gulati, S., Zimmerman, R., Chen, Y., Vinberg, F., Palczewski, K. Stereospecific modulation of dimeric rhodopsin.","['1 Department of Ophthalmology, Gavin Herbert Eye Institute, University of California-Irvine, California, USA.', '2 Department of Pharmacology, Case Western Reserve University, Cleveland, Ohio, USA.', '3 Department of Physiology and Biophysics, University of California-Irvine, Irvine, California, USA.', '4 Department of Ophthalmology, School of Medicine, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.', '5 McGowan Institute of Regenerative Medicine, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.', '6 Department of Ophthalmology and Visual Sciences, University of Utah, Salt Lake City, Utah, USA.']","Tamar Getter, Sahil Gulati, Remy Zimmerman, Yuanyuan Chen, Frans Vinberg, Krzysztof Palczewski, ",FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2019 Aug,G-protein-coupled receptors; GPCR dimerization; chromophore; high-throughput screening; isomerization.,https://pubmed.ncbi.nlm.nih.gov/31121099
798,Early detection of cone photoreceptor cell loss in retinitis pigmentosa using adaptive optics scanning laser ophthalmoscopy,"Purpose:
      
    

    
      The purpose of the study was to investigate the characteristics of the parafoveal cone density changes in patients with retinitis pigmentosa (RP) using adaptive optics scanning laser ophthalmoscopy (AO-SLO). Methods:
      
    

    
      A total of 14 eyes of RP patients and 10 eyes of control subjects were examined. High-resolution images of cone photoreceptor cells were obtained with a Canon AO-SLO system in the four retinal regions of the superior, inferior, temporal, and nasal areas located 1.0 mm from the central fovea. The relationships of cone density with optical coherence tomography (OCT) findings and the visual sensitivity of the static perimetry tests were analyzed in RP patients. Results:
      
    

    
      The averaged cone densities in RP patients were decreased at 1.0 mm eccentricity from the fovea (11,899 cells/mm2) compared with those in control subjects (16,647 cells/mm2; P < 0.01). The cone density was substantially decreased even in RP patients with an intact interdigitation zone at the examined area (12,865 cells/mm2; P < 0.01 vs. controls) and preserved visual sensitivity with > 35 dB (13,019 cells/mm2; P < 0.001 vs. controls). Conclusions:
      
    

    
      In RP, cone photoreceptor cell loss occurred in the parafoveal region with a preserved EZ/IZ or visual sensitivity. AO-SLO may be a useful modality to detect early changes of cone photoreceptor cells in RP patients.","['1 Department of Ophthalmology, Graduate School of Medical Sciences, Kyushu University, Maidashi 3-1-1, Higashi-ku, Fukuoka, 812-8582, Japan.', '2 Department of Ophthalmology, Graduate School of Medical Sciences, Kyushu University, Maidashi 3-1-1, Higashi-ku, Fukuoka, 812-8582, Japan. ymuraka3@med.kyushu-u.ac.jp.', '3 Laboratory for Genotyping Development, RIKEN Center for Integrative Medical Sciences, Yokohama, Kanagawa, Japan.']","Shunji Nakatake, Yusuke Murakami, Jun Funatsu, Yoshito Koyanagi, Masato Akiyama, Yukihide Momozawa, Tatsuro Ishibashi, Koh-Hei Sonoda, Yasuhiro Ikeda, ",Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,2019 Jun,Adaptive optics scanning laser ophthalmoscopy (AO-SLO); Cone density; Cone photoreceptor cell; Retinitis pigmentosa.,https://pubmed.ncbi.nlm.nih.gov/30937533
799,Acetylcholinesterase-functionalized two-dimensional photonic crystal for the sensing of G-series nerve agents,"G-series nerve agents, such as sarin, tabun, and soman, would cause tremendous harm in military and terrorist attacks, so it is necessary to develop a simple method for the rapid and efficient detection of these hazardous substances. We have developed a tunable acetylcholinesterase (AChE)-functionalized two-dimensional photonic crystal (2D PhC) for the detection of a real nerve agent, sarin. In accordance with the 2D PhC previously prepared by our group, the AChE-functionalized 2D PhC was optimized by adjustment of the amount of monomer in the hydrogel, which not only increased the sensitivity of the 2D PhC, with the detection limit decreasing by two orders of magnitude, but also ensured the structural color spanned the whole visible region in the detection range. A linear relationship between the logarithm of the sarin concentration and the particle spacing of the AChE-functionalized 2D PhC was observed from 7.1 × 10-17 to 7.1 × 10-4 mol/L. The AChE-functionalized 2D PhC also responded to mimics of G-series nerve agents, including dimethyl methylphosphonate, diisopropyl methylphosphonate, and isodipropyl methylphosphonate, to various degrees. The proposed 2D-PhC hydrogel has potential for low-cost, trace-level, and on-site monitoring of other G-series nerve agents. Graphical abstract.","['1 School of Chemistry and Chemical Engineering, Beijing Institute of Technology, Beijing, 100081, China.', '2 Institute of NBC Defence, Beijing, 102205, China.', '3 School of Chemistry and Chemical Engineering, Beijing Institute of Technology, Beijing, 100081, China. m_zihui@yahoo.com.']","Fenglian Qi, Chunxiao Yan, Zihui Meng, Shuguang Li, Jiayu Xu, Xiaochun Hu, Min Xue, ",Analytical and bioanalytical chemistry,2019 May,Acetylcholinesterase; G-series nerve agents; Photonic crystal; Sarin.,https://pubmed.ncbi.nlm.nih.gov/30847569
800,"Beyond blanket terms: Challenges for the explanatory value of variational (neuro-)ethology: Comment on ""Answering Schrödinger's question: A free-energy formulation"" by Maxwell James Désormeau Ramstead et al",NO_ABSTRACT,"['1 Department of Philosophy, Institute for Logic, Language and Communication (ILLC), University of Amsterdam, Oude Turfmarkt 141, 1012 GC, Amsterdam, Netherlands; Amsterdam Brain and Cognition (ABC), University of Amsterdam, Postbus 15900, 1001 NK Amsterdam, Netherlands. Electronic address: j.bruineberg@gmail.com.', '2 Amsterdam Brain and Cognition (ABC), University of Amsterdam, Postbus 15900, 1001 NK Amsterdam, Netherlands; Institute for Interdisciplinary Studies (IIS), University of Amsterdam, Science Park 904, 1098 XH Amsterdam, Netherlands; Gravitation Astroparticle Physics Amsterdam (GRAPPA) Institute, University of Amsterdam, Science Park 904, 1098 XH Amsterdam, Netherlands.']","Jelle Bruineberg, Casper Hesp, ",Physics of life reviews,2018 Mar,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/29158029
801,Mapping the Small Molecule Interactome by Mass Spectrometry,"Mapping small molecule interactions throughout the proteome provides the critical structural basis for functional analysis of their impact on biochemistry. However, translation of mass spectrometry-based proteomics methods to directly profile the interaction between a small molecule and the whole proteome is challenging because of the substoichiometric nature of many interactions, the diversity of covalent and noncovalent interactions involved, and the subsequent computational complexity associated with their spectral assignment. Recent advances in chemical proteomics have begun fill this gap to provide a structural basis for the breadth of small molecule-protein interactions in the whole proteome. Innovations enabling direct characterization of the small molecule interactome include faster, more sensitive instrumentation coupled to chemical conjugation, enrichment, and labeling methods that facilitate detection and assignment. These methods have started to measure molecular interaction hotspots due to inherent differences in local amino acid reactivity and binding affinity throughout the proteome. Measurement of the small molecule interactome is producing structural insights and methods for probing and engineering protein biochemistry. Direct structural characterization of the small molecule interactome is a rapidly emerging area pushing new frontiers in biochemistry at the interface of small molecules and the proteome.","['1 Department of Chemistry and Chemical Biology, Harvard University , 12 Oxford Street, Cambridge, Massachusetts 02138, United States.']","Hope A Flaxman, Christina M Woo, ",Biochemistry,2018,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/29083874
